depth2,depth3,polywidth2,polywidth3,resonance2,resonance3,q_factor2,q_factor3
2,3,0.5,0.5,963.8527,744.1033,34.60953,31.18074
2,3,0.6,0.6,1060.8221,817.5545,38.091453,34.25862
2,3,0.7,0.7,1150.9073,884.962,41.326188,37.08325
2,3,0.8,0.8,1236.3708,948.9233,44.394967,39.76347
2,3,0.9,0.9,1316.9268,1009.5508,47.28753,42.303995
2,3,1,1,1394.1451,1066.5045,50.060242,44.690568
2,3,0.1,0.1,212.3521,164.2941,6.584384,6.799697
2,3,0.2,0.2,301.8311,232.9057,9.358852,9.639352
2,3,0.3,0.3,371.4854,286.1017,11.51862,11.84099
2,3,0.4,0.4,431.0026,331.3557,13.36406,13.71394
2,3,0.5,0.5,484.2177,371.3783,15.0141,15.37037
2,3,0.6,0.6,532.9302,407.8322,16.52452,16.87909
2,3,0.7,0.7,578.2465,441.8624,17.92964,18.28752
2,3,0.8,0.8,621.0299,473.5583,19.25622,19.59932
2,3,0.9,0.9,661.6357,503.5557,20.51528,20.84084
2,3,1,1,700.4083,532.46,21.7175,22.03711
2,3,0.1,0.1,234.4172,182.141,7.82512,7.806649
2,3,0.2,0.2,333.1408,258.2475,11.12063,11.06861
2,3,0.3,0.3,410.0486,317.2938,13.6879,13.59936
2,3,0.4,0.4,475.7722,367.3342,15.88183,15.74411
2,3,0.5,0.5,534.4141,411.77,17.83937,17.64865
2,3,0.6,0.6,588.2041,452.2638,19.63494,19.38424
2,3,0.7,0.7,638.2439,489.8011,21.30533,20.9931
2,3,0.8,0.8,685.3151,525.0233,22.87662,22.50274
2,3,0.9,0.9,730.1412,558.3749,24.37297,23.93221
2,3,1,1,773.1422,590.1797,25.80839,25.29537
2,3,0.1,0.1,259.2976,202.4697,9.078463,8.842426
2,3,0.2,0.2,368.5266,287.1224,12.90276,12.53945
2,3,0.3,0.3,453.5219,352.6252,15.87859,15.40014
2,3,0.4,0.4,526.246,408.3122,18.42479,17.83215
2,3,0.5,0.5,591.1391,457.7894,20.69681,19.99296
2,3,0.6,0.6,650.6725,502.9026,22.78118,21.96318
2,3,0.7,0.7,706.0552,544.7458,24.72023,23.79059
2,3,0.8,0.8,758.1491,583.6499,26.54412,25.48965
2,3,0.9,0.9,807.7628,620.8435,28.28119,27.11399
2,3,1,1,855.1229,656.3323,29.93935,28.66389
2,3,0.1,0.1,287.6113,225.8088,10.35521,9.917332
2,3,0.2,0.2,408.8005,320.2852,14.71853,14.06665
2,3,0.3,0.3,503.1195,393.4353,18.11441,17.27934
2,3,0.4,0.4,583.6798,455.6627,21.01492,20.01232
2,3,0.5,0.5,655.692,510.6378,23.60766,22.42678
2,3,0.6,0.6,721.7681,561.0774,25.98668,24.64204
2,3,0.7,0.7,783.2373,607.4711,28.19983,26.67961
2,3,0.8,0.8,841.0521,651.4177,30.2814,28.60971
2,3,0.9,0.9,896.1199,692.5969,32.26408,30.41826
2,3,1,1,948.6778,731.8312,34.15638,32.1414
2,3,0.1,0.1,320.0774,253.0176,11.66522,11.051
2,3,0.2,0.2,454.9878,358.7062,16.58203,15.66715
2,3,0.3,0.3,559.8479,440.7356,20.40366,19.24993
2,3,0.4,0.4,649.7179,510.1961,23.67897,22.28374
2,3,0.5,0.5,729.7134,571.8594,26.5944,24.977
2,3,0.6,0.6,803.3002,628.036,29.27628,27.43061
2,3,0.7,0.7,871.4964,680.5988,31.76169,29.72639
2,3,0.8,0.8,935.8556,729.4728,34.10726,31.86105
2,3,0.9,0.9,997.1626,775.738,36.34159,33.88177
2,3,1,1,1055.6642,819.8445,38.473681,35.8082
2,3,0.1,0.1,357.6166,284.6594,13.01928,12.24313
2,3,0.2,0.2,508.2502,403.652,18.5032,17.36098
2,3,0.3,0.3,625.6149,495.7102,22.77595,21.32038
2,3,0.4,0.4,725.8857,573.9589,26.42637,24.68583
2,3,0.5,0.5,815.5536,643.4694,29.69079,27.67547
2,3,0.6,0.6,897.5844,706.8372,32.67718,30.4009
2,3,0.7,0.7,973.8218,765.6009,35.45266,32.92831
2,3,0.8,0.8,1045.7783,820.7615,38.072285,35.30076
2,3,0.9,0.9,1114.3308,873.0133,40.567985,37.54809
2,3,1,1,1179.7328,922.1141,42.94899,39.65991
2,3,0.1,0.1,401.4241,322.0632,14.42957,13.51738
2,3,0.2,0.2,570.5643,456.8056,20.50948,19.17268
2,3,0.3,0.3,702.3871,561.1283,25.24797,23.55123
2,3,0.4,0.4,814.7647,649.8701,29.2875,27.27584
2,3,0.5,0.5,915.484,728.1448,32.90795,30.56112
2,3,0.6,0.6,1007.2934,800.0573,36.208126,33.57937
2,3,0.7,0.7,1093.2585,866.0523,39.298221,36.34927
2,3,0.8,0.8,1174.0917,928.6906,42.203847,38.97827
2,3,0.9,0.9,1250.681,988.0723,44.956925,41.47059
2,3,1,1,1324.1137,1043.8521,47.596534,43.811736
2,3,0.1,0.1,187.2929,147.4855,6.2077,6.524338
2,3,0.2,0.2,266.2265,209.157,8.823903,9.252508
